seed,truth,threshold,truth_probability,market,closing,outcome,trades,best single agent,simple mean,precision weighted,extremized,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7
411493673,0.5787166387421108,0.5965,0.05097937794341729,0.02,0.03,0.0,2107,0.033774056490028515,0.17512859063815633,0.033774056490028515,0.3038532575154432,0.033774056490028515,0.1953220955164603,0.1953220955164603,0.1953220955164603,0.1953220955164603,0.1953220955164603,0.1953220955164603,0.1953220955164603
844262114,0.6269080609039885,0.644,0.0540447649591177,0.02,0.02,0.0,2000,0.025175471060696397,0.08854797905803806,0.025175471060696397,0.23119120636348578,0.025175471060696397,0.09760119448622973,0.09760119448622973,0.09760119448622973,0.09760119448622973,0.09760119448622973,0.09760119448622973,0.09760119448622973
1210506803,0.41911345887442375,0.436,0.0603821400539793,0.92,0.92,0.0,2088,0.026873044970302518,0.6273641434897392,0.026873044970302518,0.5434167450442191,0.026873044970302518,0.7131485861353731,0.7131485861353731,0.7131485861353731,0.7131485861353731,0.7131485861353731,0.7131485861353731,0.7131485861353731
783762966,0.3844307024765274,0.401,0.0613082779488917,0.96,0.98,0.0,2141,0.056874253291681054,0.7155387799883124,0.05687425329168105,0.6124960968276882,0.056874253291681054,0.8096337123735454,0.8096337123735454,0.8096337123735454,0.8096337123735454,0.8096337123735454,0.8096337123735454,0.8096337123735454
1967335675,0.6377896720155883,0.6535,0.06841225326756518,0.09,0.12,0.0,2060,0.08304870045908819,0.07885117517453875,0.04946849818269272,0.22523033029554132,0.04946849818269272,0.08304870045908819,0.08304870045908819,0.08304870045908819,0.08304870045908819,0.08304870045908819,0.08304870045908819,0.08304870045908819
588815471,0.44230224033169663,0.4585,0.06942718375844925,0.42,0.42,0.0,2206,0.0840261114021168,0.5720465164157988,0.0840261114021168,0.5264180576217152,0.0840261114021168,0.6417637171320392,0.6417637171320392,0.6417637171320392,0.6417637171320392,0.6417637171320392,0.6417637171320392,0.6417637171320392
1789455513,0.6264408872071736,0.6415,0.0781938764866774,0.02,0.02,0.0,2111,0.10170050419756982,0.1113684295601566,0.17904390709826412,0.25955963970301127,0.17904390709826412,0.10170050419756982,0.10170050419756982,0.10170050419756982,0.10170050419756982,0.10170050419756982,0.10170050419756982,0.10170050419756982
120825250,0.6348100701626656,0.6495,0.08231504275024631,0.01,0.0,0.0,1943,0.0889800860998502,0.09088247623599542,0.104199207189012,0.24009569869023237,0.10419920718901199,0.0889800860998502,0.0889800860998502,0.0889800860998502,0.0889800860998502,0.0889800860998502,0.0889800860998502,0.0889800860998502
209009451,0.6223483523440079,0.637,0.08435252990576533,0.05,0.04,0.0,2039,0.10936719911951365,0.10172289525918984,0.04821276823692322,0.24899974335164396,0.04821276823692322,0.10936719911951365,0.10936719911951365,0.10936719911951365,0.10936719911951365,0.10936719911951365,0.10936719911951365,0.10936719911951365
774458199,0.4625896143197385,0.4775,0.08701433796761239,0.43,0.4,0.0,2162,0.06127513609287916,0.5130259508402644,0.06127513609287916,0.49156731832219774,0.06127513609287916,0.5775617815184623,0.5775617815184623,0.5775617815184623,0.5775617815184623,0.5775617815184623,0.5775617815184623,0.5775617815184623
970966960,0.49309171495302406,0.5075,0.10267671411701561,0.39,0.4,0.0,2174,0.04178874528227705,0.42049343134476036,0.04178874528227705,0.44021828121351214,0.04178874528227705,0.47459410078225794,0.47459410078225794,0.47459410078225794,0.47459410078225794,0.47459410078225794,0.47459410078225794,0.47459410078225794
1093728911,0.6001810703414698,0.614,0.09931866362485718,0.02,0.02,0.0,2070,0.1396735122168148,0.15258942158740013,0.1396735122168148,0.2978664991475902,0.1396735122168148,0.15443455149748375,0.15443455149748375,0.15443455149748375,0.15443455149748375,0.15443455149748375,0.15443455149748375,0.15443455149748375
1733858075,0.5143943179774595,0.5285,0.09944538694043473,0.22,0.2,0.0,2069,0.15197246099306916,0.36914689833017855,0.15197246099306916,0.42934386646500516,0.15197246099306916,0.40017181794976564,0.40017181794976564,0.40017181794976564,0.40017181794976564,0.40017181794976564,0.40017181794976564,0.40017181794976564
1725657098,0.43496390980523675,0.4485,0.10691039868893641,0.49,0.5,0.0,2328,0.23964287726735822,0.6199111664553736,0.23964287726735822,0.5612099648659339,0.23964287726735822,0.6742352077679472,0.6742352077679472,0.6742352077679472,0.6742352077679472,0.6742352077679472,0.6742352077679472,0.6742352077679472
58103221,0.4488898332526531,0.462,0.11488594262741747,0.44,0.48,1.0,2202,0.045506926569085726,0.5570760950494107,0.045506926569085726,0.5107316194976785,0.045506926569085726,0.6301574048323142,0.6301574048323142,0.6301574048323142,0.6301574048323142,0.6301574048323142,0.6301574048323142,0.6301574048323142
2083457477,0.401967000356394,0.415,0.11296365229591611,0.66,0.64,0.0,2300,0.2406246865059395,0.7068589216464005,0.24062468650593952,0.6142968141294677,0.2406246865059395,0.773463812380752,0.773463812380752,0.773463812380752,0.773463812380752,0.773463812380752,0.773463812380752,0.773463812380752
331968798,0.4704389211859463,0.4835,0.11653255238330558,0.41,0.44,0.0,2298,0.10007874294438335,0.49971115936426236,0.10007874294438333,0.4906415232514417,0.10007874294438335,0.5568015045671022,0.5568015045671022,0.5568015045671022,0.5568015045671022,0.5568015045671022,0.5568015045671022,0.5568015045671022
2129750785,0.6353917354177747,0.6475,0.12528829953960716,0.03,0.06,0.0,2049,0.09205222476829966,0.0899231032794181,0.0750192528572472,0.23896445887860804,0.0750192528572472,0.09205222476829966,0.09205222476829966,0.09205222476829966,0.09205222476829966,0.09205222476829966,0.09205222476829966,0.09205222476829966
2062389656,0.5885961276957365,0.601,0.12497990602129144,0.02,0.02,1.0,2051,0.11323046103513357,0.17539259728729162,0.11323046103513357,0.3144304308005384,0.11323046103513357,0.18427290246617134,0.18427290246617134,0.18427290246617134,0.18427290246617134,0.18427290246617134,0.18427290246617134,0.18427290246617134
