seed,truth,threshold,truth_probability,market,closing,outcome,trades,best single agent,simple mean,precision weighted,extremized,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7
411493673,0.5787166387421108,0.5965,0.05097937794341729,0.04,0.04,0.0,1586,0.0704149381636836,0.11317480327252154,0.1127535562134436,0.0789528065940406,0.08641962312010765,0.10874779239747978,0.11613281909320072,0.23075821176831401,0.0704149381636836,0.02074135646991404,0.16336522735570203,0.10881845781177046
844262114,0.6269080609039885,0.644,0.0540447649591177,0.09,0.08,0.0,1943,0.020544088071987043,0.1850956198959054,0.09334422796624874,0.04517379009981599,0.4027605916633662,0.0042063019482431185,0.30852342036568037,0.008262272388320002,0.592287539277968,0.004383616984955152,0.1397971284667232,0.020544088071987043
1210506803,0.41911345887442375,0.436,0.0603821400539793,0.3,0.3,0.0,1749,0.08925534387513012,0.2985664751569891,0.19731000534755214,0.2462877703360663,0.13562976490178913,0.4217223415535263,0.7078447411843775,0.2005380122509023,0.4749780592231192,0.08925534387513012,0.19009057057965506,0.16847296768741316
783762966,0.3844307024765274,0.401,0.0613082779488917,0.54,0.52,0.0,1737,0.07159403807744047,0.4206281338682144,0.17687946323160875,0.37431522700531583,0.3900995912655376,0.7080219975163147,0.8678377798471492,0.47904099092059826,0.32360060976917704,0.44583706372670506,0.07159403807744047,0.07899299982279318
1967335675,0.6377896720155883,0.6535,0.06841225326756518,0.21,0.26,0.0,1831,0.08325280354238562,0.24406556217001074,0.20898676541554367,0.19665958355060859,0.08325280354238562,0.20492380872500437,0.3099047563489623,0.37178753381448293,0.5185700090116869,0.09789369758961541,0.1583538010477632,0.20783808728018527
588815471,0.44230224033169663,0.4585,0.06942718375844925,0.25,0.24,0.0,1655,0.17286588300739325,0.4108259278660107,0.2562928045535601,0.3950698381939852,0.4867166141926257,0.3789042079462138,0.4717343952860634,0.8186187330235138,0.39725815271417575,0.36217919295433165,0.17286588300739325,0.19833024380376807
1789455513,0.6264408872071736,0.6415,0.0781938764866774,0.07,0.08,0.0,1797,0.06253225053658762,0.17518639337115688,0.19568551079262356,0.11155275756444408,0.5170441281563146,0.04775824523687311,0.036393009175860636,0.06253225053658762,0.17981493848713315,0.09447365260811857,0.25291362840849496,0.21056129435987236
120825250,0.6348100701626656,0.6495,0.08231504275024631,0.17,0.18,0.0,1675,0.05772147567133801,0.2774294098366723,0.23715387960886783,0.2297661341043448,0.20337997590700319,0.358910636235811,0.2553776951911706,0.2521254261424676,0.6459014760714207,0.05772147567133801,0.2043389392775532,0.24167965419661452
209009451,0.6223483523440079,0.637,0.08435252990576533,0.09,0.1,0.0,1861,0.08166598416535864,0.19674417414401604,0.21137847446137642,0.07223797619270482,0.057386173726182044,0.5400641848288645,0.08166598416535864,0.0013753864768073498,0.07663572922179573,0.12859465488055288,0.6458878556435594,0.04234342420900772
774458199,0.4625896143197385,0.4775,0.08701433796761239,0.14,0.12,0.0,1867,0.10686396340058368,0.15505912509886552,0.1512061008262001,0.08202012507438326,0.20605102963602262,0.3648760913318214,0.048427047183306815,0.13755997865221392,0.01280740390603341,0.023713654305503207,0.3401738323754391,0.10686396340058368
970966960,0.49309171495302406,0.5075,0.10267671411701561,0.26,0.24,0.0,1983,0.10352536096193232,0.26135440748822275,0.18102768199875932,0.19576258513666908,0.09631348386655425,0.06592494214580036,0.6308344979245388,0.509403067206356,0.22655061163929768,0.3172740925476235,0.10352536096193232,0.14100920361367897
1093728911,0.6001810703414698,0.614,0.09931866362485718,0.34,0.3,0.0,1671,0.03927305826466554,0.2951367685031938,0.33874361611580395,0.24011380597197507,0.32119648330028194,0.3033356953771704,0.229071068116115,0.03927305826466554,0.29692903788931935,0.6036309052770052,0.1912272845962667,0.3764306152047264
1733858075,0.5143943179774595,0.5285,0.09944538694043473,0.3,0.3,0.0,1858,0.08817158530674296,0.32276762927351044,0.2712253941335825,0.24427255070980672,0.500654098118335,0.30380426972912233,0.03218965173431121,0.6149115749465928,0.08817158530674296,0.5233431908815103,0.3491693391394999,0.1698973243319689
1725657098,0.43496390980523675,0.4485,0.10691039868893641,0.17,0.16,0.0,1669,0.091231615516423,0.23058387437195793,0.17556173464110642,0.1807798578918054,0.0608624048315185,0.38998872908982407,0.2743368025862549,0.29901103240464044,0.18428190465970684,0.4036839140505428,0.091231615516423,0.14127459183675284
58103221,0.4488898332526531,0.462,0.11488594262741747,0.4,0.4,1.0,1992,0.1580015195358384,0.3824963484158124,0.22179413321098898,0.3499122044063561,0.5581261910863735,0.633754109734686,0.6429970011481818,0.3999615177089558,0.1580015195358384,0.27610936790073715,0.207240458785935,0.18378062142579166
2083457477,0.401967000356394,0.415,0.11296365229591611,0.32,0.3,0.0,1826,0.14965703278150855,0.40303286870771116,0.16907286681824268,0.3219506939128511,0.6731095640758136,0.7299378333498817,0.46768259276143387,0.5434741884006071,0.4747780119031004,0.16129506721195108,0.02432865917739302,0.14965703278150855
331968798,0.4704389211859463,0.4835,0.11653255238330558,0.25,0.28,0.0,1858,0.11293557422244871,0.35240956859374517,0.2489286095888355,0.30372237431874544,0.32869029987589615,0.6668541142656214,0.1536159604396511,0.11293557422244871,0.8001394503579499,0.4434349728504159,0.12465913583954202,0.18894704089843606
2129750785,0.6353917354177747,0.6475,0.12528829953960716,0.18,0.2,0.0,1948,0.17022950563076888,0.25858662225442797,0.1747680180331006,0.17086809461266453,0.03925805801894833,0.30691898466373446,0.059463234961452005,0.6150971571444626,0.41948895956387766,0.4056908011331206,0.17022950563076888,0.052546276919059554
2062389656,0.5885961276957365,0.601,0.12497990602129144,0.46,0.48,1.0,1868,0.13593816509407697,0.4779581392464601,0.35025883915506395,0.49881677816666736,0.16767569660412884,0.8094659388782353,0.9531631822671205,0.6355634189754598,0.13593816509407697,0.41197821353248,0.44606410978484456,0.26381638883533454
113416344,0.4939346199947243,0.506,0.13531941008223608,0.26,0.26,0.0,2084,0.11152920504973285,0.3290075544532466,0.12508282137775054,0.2550229407600868,0.5533001459183615,0.6254892025400147,0.48498336288328703,0.48608504389968,0.11152920504973285,0.2256834218462992,0.06967214983149617,0.07531790365710112
